,word,detail,code
0,aachener,other,0
1,aaker,other,0
2,aalsmeer,other,0
3,aamer,other,0
4,abaar,other,0
5,abanazer,other,0
6,abbasminister,other,0
7,abdelkader,other,0
8,abdelzar,other,0
9,abductor,Early 17th century (as a term in anatomy): modern Latin (see abduct).,2
10,abduljabbar,other,0
11,aber,other,0
12,aberarder,other,0
13,aberchalder,other,0
14,abetter,other,0
15,abettor,other,0
16,abiathar,other,0
17,abiezer,other,0
18,abigdor,other,0
19,abinger,other,0
20,abner,other,0
21,aboubakar,other,0
22,absconder,abscond,1
23,abseiler,abseil,1
24,absorber,absorb,1
25,absorptiometer,other,0
26,abstainer,abstain,1
27,abstractor,other,0
28,abubakar,other,0
29,abuser,other,0
30,acamar,other,0
31,acanthaster,other,0
32,acaster,other,0
33,accelerator,other,0
34,accelerometer,other,0
35,accepter,other,0
36,acceptor,other,0
37,accessor,other,0
38,accessoriser,other,0
39,accipiter,"From Latin, ‘hawk, bird of prey’.",2
40,acclerator,other,0
41,accommodator,"Mid 17th century. From accommodate + -or. Compare post-classical Latin accommodator, French accommodeur.",2
42,accor,other,0
43,accorder,other,0
44,accountholder,other,0
45,accountingfor,other,0
46,accruer,"Mid 17th century. From accrue + -er, after nouns in the field of legal terminology with the ending -er derived from the infinitive forms of French verbs.",2
47,accufilter,other,0
48,accumaster,other,0
49,accumulator,other,0
50,accuser,other,0
51,acer,"From Latin, ‘maple’.",2
52,acerpower,other,0
53,achallader,other,0
54,achernar,"From Arabic, ‘end of the river (i.e. Eridanus)’.",2
55,achiever,other,0
56,achromobacter,other,0
57,achuar,other,0
58,acidifier,Late 18th century. From acidify + -er.,2
59,acinar,other,0
60,acker,"1930s; earliest use found in Eric Partridge (1894–1979), lexicographer and etymologist. Origin unknown.",2
61,ackner,other,0
62,acousticaster,other,0
63,acquirer,acquire,1
64,acquiror,Late 18th century. From acquire + -or. Compare earlier acquirer.,2
65,acquisitor,"Late 17th century; earliest use found in Leonard Willan (fl. 1648–1670), writer. From post-classical Latin acquisitor person who acquires something from classical Latin acquīsīt-, past participial stem of acquīrere + -or.",2
66,activator,activate,1
67,actor,"Late Middle English (originally denoting an agent or administrator): from Latin, ‘doer, actor’, from agere ‘do, act’.",2
68,actualizer,other,0
69,actuator,actuate,1
70,acustar,other,0
71,adalgar,other,0
72,adamastor,other,0
73,adapter,other,0
74,adaptor,other,0
75,adder,"Old English nædre ‘serpent, adder’, of Germanic origin; related to Dutch adder and German Natter. The initial n was lost in Middle English by wrong division of a naddre; compare with apron, auger, and umpire.",2
76,addresser,address,1
77,addressor,other,0
78,adductor,"Early 17th century: modern Latin, from Latin adduct- ‘brought in’, from the verb adducere (see adduce).",2
79,adelsheiliger,other,0
80,ademar,other,0
81,adenauer,other,0
82,ader,other,0
83,adhear,other,0
84,adioynder,other,0
85,adjudicator,other,0
86,adjuster,adjust,1
87,adjustor,other,0
88,adlayer,other,0
89,adler,other,0
90,adlgasser,other,0
91,administator,other,0
92,administraor,other,0
93,administrator,other,0
94,adminstrator,other,0
95,admirer,other,0
96,adopter,adopt,1
97,ador,other,0
98,adrar,other,0
99,adrenoceptor,1960s.,2
100,adsorber,other,0
101,adstar,other,0
102,adulator,adulate,1
103,adulter,"Late Middle English; earliest use found in The Wycliffite Bible (early version). From (i) Anglo-Norman avoutere, avouteire, avouter, avoutour, advouter, advoutoure and Middle French avoutre, also adultere, also adultre, used as both noun and adjective&lt;br&gt;late Middle English; earliest use found in The Wycliffite Bible (early version). From Middle French avoultrer, advoultrer, also Middle French adulterer to commit adultery, to alter, corrupt, falsify and its etymon classical Latin adulterāre to commit adultery (with), to defile by adultery, to mix (a substance) with another, to impair the purity or strength of, to counterfeit, to falsify or tamper with, to corrupt, debase from ad to + alter another.",2
104,adulterer,"Early 16th century: from the obsolete verb adulter ‘commit adultery’, from Latin adulterare ‘debauch, corrupt’, replacing an earlier Middle English noun avouterer, from Old French avoutrer ‘commit adultery’.",2
105,adventurer,"Late 15th century (denoting a gambler): from French aventurier, from aventurer ‘venture upon’ (see adventure).",2
106,advertiser,other,0
107,adviser,other,0
108,advisor,other,0
109,adyar,other,0
110,adzhar,other,0
111,aebischer,other,0
112,aer,other,0
113,aerator,aerate,1
114,aerocar,Early 20th century; earliest use found in Flight International.,2
115,aerogenerator,1940s.,2
116,aerostar,other,0
117,afar,Middle English of feor ‘from far’.,2
118,afcor,other,0
119,afer,Late Middle English (in an earlier sense). From classical Latin Āfer African.,2
120,affar,other,0
121,affecter,Mid 16th century (in an earlier sense). From affect + -er.,2
122,affer,other,0
123,affter,other,0
124,afgshar,other,0
125,aflutter,other,0
126,africander,other,0
127,afrikaaner,other,0
128,afrikaner,"Afrikaans, from South African Dutch Africander, from Dutch Afrikaan ‘an African’ + the personal suffix -der, on the pattern of Hollander ‘Dutchman’.",2
129,afshar,"Early 20th century; earliest use found in The Decatur Review. From Afshar, Avshar (Turkish Avşar, also Afşar, self-designation; Persian Afšār), the name of one of the sub-clans of the Oghuz (Turkic) tribal confederation, now living in south-east Iran.",2
130,after,"Old English æfter, of Germanic origin; related to Dutch achter.",2
131,afterburner,other,0
132,afterdinner,other,0
133,agar,Early 19th century: from Malay.,2
134,agenor,other,0
135,ager,other,0
136,aggater,other,0
137,agger,"Late Middle English; earliest use found in John Trevisa (c1342–?1402), translator. From classical Latin agger material for an earthwork, rubble, offensive earthwork, ramp, defensive earthwork, rampart, road or causeway raised above the level of the surrounding ground, mound or pile of earth or rubble, perhaps from aggerere.",2
138,aggravator,"Late 16th century; earliest use found in John Florio (1553–1625), author and teacher of languages. From aggravate + -or, originally after Italian gravatore.",2
139,aggregometer,1960s; earliest use found in Life Science. From aggreg- + -ometer.,2
140,aggressor,"Mid 17th century: from late Latin, from aggredi ‘to attack’ (see aggression).",2
141,agister,agist,1
142,agitator,other,0
143,agonizer,Late 18th century; earliest use found in New Christian&#39;s Magazine. From agonize + -er.,2
144,agshar,other,0
145,aguiar,other,0
146,agutter,other,0
147,ahaggar,other,0
148,ahagger,other,0
149,ahier,other,0
150,ahiqar,other,0
151,ahler,other,0
152,ahmednagar,other,0
153,aider,"Late 15th century; earliest use found in William Caxton (1415x24–1492), printer, merchant, and diplomat. From aid + -er.",2
154,aigner,other,0
155,aimar,other,0
156,aimer,"Late 16th century; earliest use found in Anthony Munday (d. 1633), playwright and translator. From aim + -er.",2
157,aincher,other,0
158,airbreather,other,0
159,aircar,other,0
160,airer,other,0
161,airfighter,other,0
162,airfilter,other,0
163,airflor,other,0
164,airfreshener,other,0
165,airknocker,other,0
166,airliner,other,0
167,airmaster,other,0
168,airpower,other,0
169,aiter,other,0
170,aitor,other,0
171,aiyer,other,0
172,ajmer,other,0
173,akar,other,0
174,akbar,other,0
175,akebar,other,0
176,akeler,other,0
177,aker,other,0
178,akhbar,other,0
179,akhdar,other,0
180,akhissar,other,0
181,akhtar,other,0
182,akhter,other,0
183,aksar,other,0
184,alabaster,"Late Middle English: via Old French from Latin alabaster, alabastrum, from Greek alabastos, alabastros.",2
185,alachlor,other,0
186,albar,other,0
187,alber,other,0
188,albiger,other,0
189,alcazar,"Early 17th century: from Spanish alcázar, from Arabic al-qaṣr ‘the castle’.",2
190,alcor,other,0
191,alder,"Old English alor, aler, of Germanic origin; related to German Erle; forms spelled with d are recorded from the 14th century.",2
192,aldomovar,other,0
193,aleconner,other,0
194,alehousekeeper,other,0
195,aleister,other,0
196,aleksander,other,0
197,aler,other,0
198,alerter,other,0
199,alertmanager,other,0
200,alexander,other,0
201,alfgar,other,0
202,algigator,other,0
203,aliasmanager,other,0
204,aliasmapper,other,0
205,alienor,other,0
206,alister,other,0
207,alkar,other,0
208,alkaseltzer,other,0
209,alker,other,0
210,alkmaar,other,0
211,allaker,other,0
212,allander,other,0
213,allcomer,other,0
214,alldayer,other,0
215,allder,other,0
216,allegorizer,"Mid 16th century; earliest use found in John Bale (1495–1563), bishop of Ossory, evangelical polemicist, and historian. From allegorize + -er.",2
217,aller,other,0
218,allgemeiner,other,0
219,allibar,other,0
220,allier,other,0
221,alligator,"Late 16th century: from Spanish el lagarto ‘the lizard’, probably based on Latin lacerta.",2
222,allocator,allocate,1
223,allotmenteer,Early 20th century; earliest use found in Evening News (London). From allotment + -eer.,2
224,allover,other,0
225,allrounder,other,0
226,allseater,other,0
227,allstar,other,0
228,allweather,other,0
229,almanzar,other,0
230,almer,other,0
231,almodovar,other,0
232,almoner,"Middle English: from Old French aumonier, based on medieval Latin eleemosynarius, from eleemosyna ‘alms’ (see alms).",2
233,alnager,Early 16th century; earliest use found in Statutes Prohemium Iohannis Rastell. From alnage + -er.,2
234,alner,other,0
235,alomar,other,0
236,alper,other,0
237,alpher,other,0
238,alpiger,other,0
239,alpnacher,other,0
240,alschuler,other,0
241,alster,other,0
242,altar,"Old English altar, alter, based on late Latin altar, altarium, from Latin altus ‘high’.",2
243,altcar,other,0
244,alternator,other,0
245,alther,other,0
246,altimeter,Early 20th century: from Latin altus ‘high’ + -meter.,2
247,altogther,other,0
248,altovar,other,0
249,altvater,other,0
250,aluor,other,0
