,word,detail,code
0,aachener,other,0
1,aaker,other,0
2,aalsmeer,other,0
3,aamer,other,0
4,abaar,other,0
5,abanazer,other,0
6,abbasminister,other,0
7,abdelkader,other,0
8,abdelzar,other,0
10,abduljabbar,other,0
11,aber,other,0
12,aberarder,other,0
13,aberchalder,other,0
14,abetter,other,0
15,abettor,other,0
16,abiathar,other,0
17,abiezer,other,0
18,abigdor,other,0
19,abinger,other,0
20,abner,other,0
21,aboubakar,other,0
25,absorptiometer,other,0
27,abstractor,other,0
28,abubakar,other,0
29,abuser,other,0
30,acamar,other,0
31,acanthaster,other,0
32,acaster,other,0
33,accelerator,other,0
34,accelerometer,other,0
35,accepter,other,0
36,acceptor,other,0
37,accessor,other,0
38,accessoriser,other,0
40,acclerator,other,0
42,accor,other,0
43,accorder,other,0
44,accountholder,other,0
45,accountingfor,other,0
47,accufilter,other,0
48,accumaster,other,0
49,accumulator,other,0
50,accuser,other,0
52,acerpower,other,0
53,achallader,other,0
55,achiever,other,0
56,achromobacter,other,0
57,achuar,other,0
59,acinar,other,0
61,ackner,other,0
62,acousticaster,other,0
68,actualizer,other,0
70,acustar,other,0
71,adalgar,other,0
72,adamastor,other,0
73,adapter,other,0
74,adaptor,other,0
77,addressor,other,0
79,adelsheiliger,other,0
80,ademar,other,0
81,adenauer,other,0
82,ader,other,0
83,adhear,other,0
84,adioynder,other,0
85,adjudicator,other,0
87,adjustor,other,0
88,adlayer,other,0
89,adler,other,0
90,adlgasser,other,0
91,administator,other,0
92,administraor,other,0
93,administrator,other,0
94,adminstrator,other,0
95,admirer,other,0
97,ador,other,0
98,adrar,other,0
100,adsorber,other,0
101,adstar,other,0
106,advertiser,other,0
107,adviser,other,0
108,advisor,other,0
109,adyar,other,0
110,adzhar,other,0
111,aebischer,other,0
112,aer,other,0
116,aerostar,other,0
118,afcor,other,0
120,affar,other,0
122,affer,other,0
123,affter,other,0
124,afgshar,other,0
125,aflutter,other,0
126,africander,other,0
127,afrikaaner,other,0
131,afterburner,other,0
132,afterdinner,other,0
134,agenor,other,0
135,ager,other,0
136,aggater,other,0
142,agitator,other,0
144,agshar,other,0
145,aguiar,other,0
146,agutter,other,0
147,ahaggar,other,0
148,ahagger,other,0
149,ahier,other,0
150,ahiqar,other,0
151,ahler,other,0
152,ahmednagar,other,0
154,aigner,other,0
155,aimar,other,0
157,aincher,other,0
158,airbreather,other,0
159,aircar,other,0
160,airer,other,0
161,airfighter,other,0
162,airfilter,other,0
163,airflor,other,0
164,airfreshener,other,0
165,airknocker,other,0
166,airliner,other,0
167,airmaster,other,0
168,airpower,other,0
169,aiter,other,0
170,aitor,other,0
171,aiyer,other,0
172,ajmer,other,0
173,akar,other,0
174,akbar,other,0
175,akebar,other,0
176,akeler,other,0
177,aker,other,0
178,akhbar,other,0
179,akhdar,other,0
180,akhissar,other,0
181,akhtar,other,0
182,akhter,other,0
183,aksar,other,0
185,alachlor,other,0
186,albar,other,0
187,alber,other,0
188,albiger,other,0
190,alcor,other,0
192,aldomovar,other,0
193,aleconner,other,0
194,alehousekeeper,other,0
195,aleister,other,0
196,aleksander,other,0
197,aler,other,0
198,alerter,other,0
199,alertmanager,other,0
200,alexander,other,0
201,alfgar,other,0
202,algigator,other,0
203,aliasmanager,other,0
204,aliasmapper,other,0
205,alienor,other,0
206,alister,other,0
207,alkar,other,0
208,alkaseltzer,other,0
209,alker,other,0
210,alkmaar,other,0
211,allaker,other,0
212,allander,other,0
213,allcomer,other,0
214,alldayer,other,0
215,allder,other,0
217,aller,other,0
218,allgemeiner,other,0
219,allibar,other,0
220,allier,other,0
224,allover,other,0
225,allrounder,other,0
226,allseater,other,0
227,allstar,other,0
228,allweather,other,0
229,almanzar,other,0
230,almer,other,0
231,almodovar,other,0
234,alner,other,0
235,alomar,other,0
236,alper,other,0
237,alpher,other,0
238,alpiger,other,0
239,alpnacher,other,0
240,alschuler,other,0
241,alster,other,0
243,altcar,other,0
244,alternator,other,0
245,alther,other,0
247,altogther,other,0
248,altovar,other,0
249,altvater,other,0
250,aluor,other,0
252,alveolar,other,0
253,alwatar,other,0
254,alxenor,other,0
255,alzheimer,other,0
256,amager,other,0
257,amahaggar,other,0
258,amajor,other,0
259,amandor,other,0
260,amar,other,0
262,amazer,other,0
266,ambusher,other,0
267,amelancher,other,0
269,amer,other,0
270,aminor,other,0
271,amintor,other,0
273,amner,other,0
274,amor,other,0
275,amother,other,0
276,amotor,other,0
277,amper,other,0
278,amphicar,other,0
279,amphitheater,other,0
280,amplifier,other,0
281,amplimer,other,0
282,amser,other,0
283,amsler,other,0
284,amuzegar,other,0
286,analyzer,other,0
288,anaximander,other,0
289,anbar,other,0
290,ancaster,other,0
291,ancester,other,0
294,ancor,other,0
295,andhelicobacter,other,0
296,andmotor,other,0
297,andmutter,other,0
298,andor,other,0
299,andother,other,0
301,anenometer,other,0
302,angar,other,0
304,angerer,other,0
305,angier,other,0
306,angiosper,other,0
307,angler,other,0
308,angster,other,0
309,anheuser,other,0
310,animator,other,0
311,anither,other,0
312,anixter,other,0
313,anjer,other,0
314,anker,other,0
315,anklebiter,other,0
316,anklewarmer,other,0
317,ankober,other,0
318,anmer,other,0
319,annewanter,other,0
320,annider,other,0
323,announcer,other,0
324,annuar,other,0
325,annunciator,other,0
326,annuver,other,0
327,anor,other,0
328,anorakster,other,0
330,anser,other,0
331,anskar,other,0
334,antagoniser,other,0
335,anteater,other,0
337,antenor,other,0
338,anter,other,0
339,anteroposterior,other,0
341,anticancer,other,0
344,antimatter,other,0
345,antipater,other,0
346,antiphoner,other,0
347,antiradar,other,0
348,antitumor,other,0
349,antiulcer,other,0
350,antiwar,other,0
352,antoher,other,0
353,anumber,other,0
354,anuvver,other,0
355,anwaar,other,0
356,anwar,other,0
357,anweiler,other,0
358,anyother,other,0
360,apgar,other,0
361,aphaenogaster,other,0
362,apiaster,other,0
363,apocrisiar,other,0
364,aporepressor,other,0
365,apparitor,other,0
367,appenzeller,other,0
368,appetiser,other,0
369,appetizer,other,0
370,applauder,other,0
374,appointor,other,0
376,appreciator,other,0
378,approver,other,0
379,appserver,other,0
380,aptaker,other,0
381,aquablaster,other,0
382,aquascaper,other,0
383,aquastar,other,0
384,aquiar,other,0
386,aramar,other,0
387,arandar,other,0
388,arar,other,0
389,arator,other,0
390,arbalastier,other,0
391,arber,other,0
393,arbitrager,other,0
394,arbitrator,other,0
395,arblaster,other,0
397,arcadeowner,other,0
398,archchancellor,other,0
400,architector,other,0
401,archiver,other,0
402,archmaster,other,0
403,archminster,other,0
404,archpredator,other,0
405,archuar,other,0
406,arcserver,other,0
407,ardeer,other,0
408,ardener,other,0
409,ardler,other,0
410,ardor,other,0
411,argar,other,0
412,argentiventer,other,0
414,aristocritter,other,0
415,armblaster,other,0
417,armifer,other,0
419,armleder,other,0
420,armor,other,0
422,arnander,other,0
423,arouser,other,0
424,arranger,other,0
425,arrear,other,0
426,arrer,other,0
427,arrester,other,0
429,arroser,other,0
430,arsegripper,other,0
432,arthrobacter,other,0
433,articulator,other,0
435,artnewsletter,other,0
436,artschwager,other,0
437,arveiler,other,0
438,arzner,other,0
439,ascender,other,0
440,ascher,other,0
441,aser,other,0
442,asfar,other,0
443,ashar,other,0
444,ashayer,other,0
445,asher,other,0
447,ashover,other,0
448,askender,other,0
450,aslumber,other,0
451,asmar,other,0
452,asner,other,0
453,asnier,other,0
454,asper,other,0
455,aspirator,other,0
456,assailer,other,0
459,asscher,other,0
460,assembler,other,0
461,assentor,other,0
462,asser,other,0
464,assessedor,other,0
465,assessor,other,0
466,assigner,other,0
467,assignor,other,0
468,assimilator,other,0
470,assiter,other,0
471,assumer,other,0
473,assuror,other,0
474,asswiper,other,0
475,astar,other,0
477,astler,other,0
478,astmoor,other,0
479,astor,other,0
480,astrologer,other,0
481,astronomer,other,0
482,atar,other,0
483,atcher,other,0
485,atgor,other,0
486,athenor,other,0
487,atmosfear,other,0
488,atomiser,other,0
489,atomizer,other,0
490,atomsmasher,other,0
491,attacker,other,0
493,attainer,other,0
495,attcker,other,0
496,attempter,other,0
498,attenuator,other,0
500,atttacker,other,0
501,attwater,other,0
502,atwater,other,0
503,auber,other,0
504,aucher,other,0
505,auchterader,other,0
506,auctioneer,other,0
507,auctor,other,0
510,auer,other,0
511,augenthaler,other,0
513,augher,other,0
514,augsburger,other,0
515,auper,other,0
516,aussenseiter,other,0
521,autoanalyzer,other,0
523,autocar,other,0
524,autocarrier,other,0
525,autochanger,other,0
527,autocover,other,0
528,autodialler,other,0
530,autoloader,other,0
532,automaker,other,0
533,autopaster,other,0
534,autoradiographer,other,0
537,autoseeker,other,0
538,autosizer,other,0
539,autotimer,other,0
540,autotitrator,other,0
541,autotransformer,other,0
542,autotritrator,other,0
543,autowinder,other,0
544,auver,other,0
549,aviator,other,0
550,avier,other,0
551,avner,other,0
553,avostar,other,0
554,avtar,other,0
555,awakener,other,0
556,axegrinder,other,0
558,axpcluster,other,0
559,ayer,other,0
560,ayivor,other,0
561,ayler,other,0
562,azar,other,0
563,azfar,other,0
564,azhar,other,0
565,azinger,other,0
