,word,detail,code
0,aachener,not a word,-1
1,aaker,not a word,-1
2,aalsmeer,not a word,-1
3,aamer,not a word,-1
4,abaar,not a word,-1
5,abanazer,not a word,-1
6,abbasminister,not a word,-1
7,abdelkader,not a word,-1
8,abdelzar,not a word,-1
9,abductor,Early 17th century (as a term in anatomy): modern Latin (see abduct).,2
10,abduljabbar,not a word,-1
11,aber,not a word,-1
12,aberarder,not a word,-1
13,aberchalder,not a word,-1
14,abetter,not a word,-1
15,abettor,other,0
16,abiathar,not a word,-1
17,abiezer,not a word,-1
18,abigdor,not a word,-1
19,abinger,not a word,-1
20,abner,not a word,-1
21,aboubakar,not a word,-1
22,absconder,abscond,1
23,abseiler,abseil,1
24,absorber,absorb,1
25,absorptiometer,other,0
26,abstainer,abstain,1
27,abstractor,other,0
28,abubakar,not a word,-1
29,abuser,other,0
30,acamar,not a word,-1
31,acanthaster,not a word,-1
32,acaster,not a word,-1
33,accelerator,other,0
34,accelerometer,other,0
35,accepter,not a word,-1
36,acceptor,other,0
37,accessor,not a word,-1
38,accessoriser,not a word,-1
39,accipiter,"From Latin, ‘hawk, bird of prey’.",2
40,acclerator,not a word,-1
41,accommodator,"Mid 17th century. From accommodate + -or. Compare post-classical Latin accommodator, French accommodeur.",2
42,accor,not a word,-1
43,accorder,not a word,-1
44,accountholder,not a word,-1
45,accountingfor,not a word,-1
46,accruer,"Mid 17th century. From accrue + -er, after nouns in the field of legal terminology with the ending -er derived from the infinitive forms of French verbs.",2
47,accufilter,not a word,-1
48,accumaster,not a word,-1
49,accumulator,other,0
50,accuser,other,0
51,acer,"From Latin, ‘maple’.",2
52,acerpower,not a word,-1
53,achallader,not a word,-1
54,achernar,"From Arabic, ‘end of the river (i.e. Eridanus)’.",2
55,achiever,other,0
56,achromobacter,not a word,-1
57,achuar,not a word,-1
58,acidifier,Late 18th century. From acidify + -er.,2
59,acinar,other,0
60,acker,"1930s; earliest use found in Eric Partridge (1894–1979), lexicographer and etymologist. Origin unknown.",2
61,ackner,not a word,-1
62,acousticaster,not a word,-1
63,acquirer,acquire,1
64,acquiror,Late 18th century. From acquire + -or. Compare earlier acquirer.,2
65,acquisitor,"Late 17th century; earliest use found in Leonard Willan (fl. 1648–1670), writer. From post-classical Latin acquisitor person who acquires something from classical Latin acquīsīt-, past participial stem of acquīrere + -or.",2
66,activator,activate,1
67,actor,"Late Middle English (originally denoting an agent or administrator): from Latin, ‘doer, actor’, from agere ‘do, act’.",2
68,actualizer,not a word,-1
69,actuator,actuate,1
70,acustar,not a word,-1
71,adalgar,not a word,-1
72,adamastor,not a word,-1
73,adapter,other,0
74,adaptor,not a word,-1
75,adder,"Old English nædre ‘serpent, adder’, of Germanic origin; related to Dutch adder and German Natter. The initial n was lost in Middle English by wrong division of a naddre; compare with apron, auger, and umpire.",2
76,addresser,address,1
77,addressor,not a word,-1
78,adductor,"Early 17th century: modern Latin, from Latin adduct- ‘brought in’, from the verb adducere (see adduce).",2
79,adelsheiliger,not a word,-1
80,ademar,not a word,-1
81,adenauer,not a word,-1
82,ader,not a word,-1
83,adhear,not a word,-1
84,adioynder,not a word,-1
85,adjudicator,other,0
86,adjuster,adjust,1
87,adjustor,not a word,-1
88,adlayer,not a word,-1
89,adler,not a word,-1
90,adlgasser,not a word,-1
91,administator,not a word,-1
92,administraor,not a word,-1
93,administrator,other,0
94,adminstrator,not a word,-1
95,admirer,other,0
96,adopter,adopt,1
97,ador,not a word,-1
98,adrar,not a word,-1
99,adrenoceptor,1960s.,2
100,adsorber,not a word,-1
101,adstar,not a word,-1
102,adulator,adulate,1
103,adulter,"Late Middle English; earliest use found in The Wycliffite Bible (early version). From (i) Anglo-Norman avoutere, avouteire, avouter, avoutour, advouter, advoutoure and Middle French avoutre, also adultere, also adultre, used as both noun and adjective&lt;br&gt;late Middle English; earliest use found in The Wycliffite Bible (early version). From Middle French avoultrer, advoultrer, also Middle French adulterer to commit adultery, to alter, corrupt, falsify and its etymon classical Latin adulterāre to commit adultery (with), to defile by adultery, to mix (a substance) with another, to impair the purity or strength of, to counterfeit, to falsify or tamper with, to corrupt, debase from ad to + alter another.",2
104,adulterer,"Early 16th century: from the obsolete verb adulter ‘commit adultery’, from Latin adulterare ‘debauch, corrupt’, replacing an earlier Middle English noun avouterer, from Old French avoutrer ‘commit adultery’.",2
105,adventurer,"Late 15th century (denoting a gambler): from French aventurier, from aventurer ‘venture upon’ (see adventure).",2
106,advertiser,other,0
107,adviser,other,0
108,advisor,not a word,-1
109,adyar,not a word,-1
110,adzhar,not a word,-1
111,aebischer,not a word,-1
112,aer,not a word,-1
113,aerator,aerate,1
114,aerocar,Early 20th century; earliest use found in Flight International.,2
115,aerogenerator,1940s.,2
116,aerostar,not a word,-1
117,afar,Middle English of feor ‘from far’.,2
118,afcor,not a word,-1
119,afer,Late Middle English (in an earlier sense). From classical Latin Āfer African.,2
120,affar,not a word,-1
121,affecter,Mid 16th century (in an earlier sense). From affect + -er.,2
122,affer,not a word,-1
123,affter,not a word,-1
124,afgshar,not a word,-1
125,aflutter,other,0
126,africander,not a word,-1
127,afrikaaner,not a word,-1
128,afrikaner,"Afrikaans, from South African Dutch Africander, from Dutch Afrikaan ‘an African’ + the personal suffix -der, on the pattern of Hollander ‘Dutchman’.",2
129,afshar,"Early 20th century; earliest use found in The Decatur Review. From Afshar, Avshar (Turkish Avşar, also Afşar, self-designation; Persian Afšār), the name of one of the sub-clans of the Oghuz (Turkic) tribal confederation, now living in south-east Iran.",2
130,after,"Old English æfter, of Germanic origin; related to Dutch achter.",2
131,afterburner,other,0
132,afterdinner,not a word,-1
133,agar,Early 19th century: from Malay.,2
134,agenor,not a word,-1
135,ager,not a word,-1
136,aggater,not a word,-1
137,agger,"Late Middle English; earliest use found in John Trevisa (c1342–?1402), translator. From classical Latin agger material for an earthwork, rubble, offensive earthwork, ramp, defensive earthwork, rampart, road or causeway raised above the level of the surrounding ground, mound or pile of earth or rubble, perhaps from aggerere.",2
138,aggravator,"Late 16th century; earliest use found in John Florio (1553–1625), author and teacher of languages. From aggravate + -or, originally after Italian gravatore.",2
139,aggregometer,1960s; earliest use found in Life Science. From aggreg- + -ometer.,2
140,aggressor,"Mid 17th century: from late Latin, from aggredi ‘to attack’ (see aggression).",2
141,agister,agist,1
142,agitator,other,0
143,agonizer,Late 18th century; earliest use found in New Christian&#39;s Magazine. From agonize + -er.,2
144,agshar,not a word,-1
145,aguiar,not a word,-1
146,agutter,not a word,-1
147,ahaggar,not a word,-1
148,ahagger,not a word,-1
149,ahier,not a word,-1
150,ahiqar,not a word,-1
151,ahler,not a word,-1
152,ahmednagar,not a word,-1
153,aider,"Late 15th century; earliest use found in William Caxton (1415x24–1492), printer, merchant, and diplomat. From aid + -er.",2
154,aigner,not a word,-1
155,aimar,not a word,-1
156,aimer,"Late 16th century; earliest use found in Anthony Munday (d. 1633), playwright and translator. From aim + -er.",2
157,aincher,not a word,-1
158,airbreather,not a word,-1
159,aircar,not a word,-1
160,airer,other,0
161,airfighter,not a word,-1
162,airfilter,not a word,-1
163,airflor,not a word,-1
164,airfreshener,not a word,-1
165,airknocker,not a word,-1
166,airliner,other,0
167,airmaster,not a word,-1
168,airpower,not a word,-1
169,aiter,not a word,-1
170,aitor,not a word,-1
171,aiyer,not a word,-1
172,ajmer,not a word,-1
