,word,detail,code
15,abettor,other,0
25,absorptiometer,other,0
27,abstractor,other,0
29,abuser,other,0
33,accelerator,other,0
34,accelerometer,other,0
36,acceptor,other,0
49,accumulator,other,0
50,accuser,other,0
55,achiever,other,0
59,acinar,other,0
73,adapter,other,0
85,adjudicator,other,0
93,administrator,other,0
95,admirer,other,0
106,advertiser,other,0
107,adviser,other,0
125,aflutter,other,0
131,afterburner,other,0
142,agitator,other,0
160,airer,other,0
166,airliner,other,0
205,alienor,other,0
244,alternator,other,0
252,alveolar,other,0
280,amplifier,other,0
307,angler,other,0
310,animator,other,0
323,announcer,other,0
325,annunciator,other,0
335,anteater,other,0
339,anteroposterior,other,0
341,anticancer,other,0
344,antimatter,other,0
369,appetizer,other,0
376,appreciator,other,0
378,approver,other,0
394,arbitrator,other,0
424,arranger,other,0
427,arrester,other,0
433,articulator,other,0
439,ascender,other,0
455,aspirator,other,0
460,assembler,other,0
465,assessor,other,0
467,assignor,other,0
468,assimilator,other,0
480,astrologer,other,0
481,astronomer,other,0
489,atomizer,other,0
491,attacker,other,0
498,attenuator,other,0
506,auctioneer,other,0
523,autocar,other,0
525,autochanger,other,0
528,autodialler,other,0
532,automaker,other,0
541,autotransformer,other,0
543,autowinder,other,0
549,aviator,other,0
574,babbler,other,0
579,babysitter,other,0
586,backbar,other,0
587,backbencher,other,0
591,backer,other,0
592,backgrounder,other,0
595,backmarker,other,0
597,backpacker,other,0
599,backscatter,other,0
600,backscratcher,other,0
604,backstroker,other,0
605,backswimmer,other,0
606,backwater,other,0
607,baconer,other,0
617,baffler,other,0
628,bailor,other,0
636,baker,other,0
646,baler,other,0
649,balladeer,other,0
653,baller,other,0
680,bandleader,other,0
681,bandmaster,other,0
686,banger,other,0
690,banker,other,0
709,bargemaster,other,0
711,barkeeper,other,0
729,bartender,other,0
735,basher,other,0
748,bather,other,0
749,bathwater,other,0
753,battlecruiser,other,0
754,battler,other,0
771,beachcomber,other,0
774,beachwear,other,0
778,beamer,other,0
780,beaner,other,0
787,bearer,other,0
791,beater,other,0
807,bedchamber,other,0
808,bedcover,other,0
809,bedder,other,0
810,bedmaker,other,0
820,beefburger,other,0
825,beeper,other,0
836,beginner,other,0
838,begrudger,other,0
844,beholder,other,0
859,believer,other,0
867,bellflower,other,0
877,belter,other,0
881,bencher,other,0
913,berserker,other,0
925,bestseller,other,0
949,bidder,other,0
964,biker,other,0
965,bilayer,other,0
974,billposter,other,0
978,binder,other,0
988,biographer,other,0
990,biomarker,other,0
992,biopolymer,other,0
993,bioreactor,other,0
995,biosensor,other,0
997,bipolar,other,0
999,birder,other,0
1002,birdwatcher,other,0
1047,blaster,other,0
1055,bleacher,other,0
1059,bleeder,other,0
1060,bleeper,other,0
1062,blender,other,0
1067,blinder,other,0
1068,blinker,other,0
1074,blocker,other,0
1079,bloodsucker,other,0
1086,blotter,other,0
1087,blower,other,0
1105,blusher,other,0
1109,boarder,other,0
1110,boardsailor,other,0
1114,boater,other,0
1117,bobber,other,0
1121,bodger,other,0
1125,bodybuilder,other,0
1148,bogtrotter,other,0
1150,boiler,other,0
1151,boilermaker,other,0
1164,bolter,other,0
1167,bomber,other,0
1171,bondager,other,0
1173,bondholder,other,0
1178,boneshaker,other,0
1191,bookbinder,other,0
1195,booker,other,0
1196,bookkeeper,other,0
1198,bookmaker,other,0
1200,bookseller,other,0
1205,booster,other,0
1208,bootmaker,other,0
1210,bootstrapper,other,0
1212,boozer,other,0
1217,borderer,other,0
1218,borer,other,0
1222,borrower,other,0
1236,bottler,other,0
1246,bouncer,other,0
1247,bounder,other,0
1266,bowyer,other,0
1268,boxcar,other,0
1290,brainpower,other,0
1308,braunschweiger,other,0
1314,breadwinner,other,0
1316,breaker,other,0
1319,breakwater,other,0
1325,breather,other,0
1331,breeder,other,0
1345,brewer,other,0
1351,bricklayer,other,0
1360,briefer,other,0
1374,brittlestar,other,0
1375,broadcaster,other,0
1384,broiler,other,0
1386,bronchodilator,other,0
1388,broncobuster,other,0
1391,bronzer,other,0
1412,browser,other,0
1421,bruiser,other,0
1435,bubbler,other,0
1463,builder,other,0
1467,bulbar,other,0
1473,bulldozer,other,0
1479,bullshitter,other,0
1495,bungler,other,0
1512,burner,other,0
1518,burster,other,0
