,word,detail,code
0,absconder,abscond,11
1,abseiler,abseil,11
2,absorber,absorb,11
3,abstainer,abstain,11
4,acquirer,acquire,11
5,activator,activate,11
6,actuator,actuate,11
7,addresser,address,11
8,adjuster,adjust,11
9,adopter,adopt,11
10,adulator,adulate,11
11,aerator,aerate,11
12,agister,agist,11
13,allocator,allocate,11
14,amasser,amass,11
15,ambler,amble,11
16,analyser,analyse,11
17,annihilator,annihilate,11
18,annotator,annotate,11
19,answerer,answer,11
20,anticipator,anticipate,11
21,appeaser,appease,11
22,applier,apply,11
23,appointer,appoint,11
24,appraiser,appraise,11
25,appropriator,appropriate,11
26,arguer,argue,11
27,asker,ask,11
28,assaulter,assault,11
29,assayer,assay,11
30,asserter,assert,11
31,assister,assist,11
32,assurer,assure,11
33,attender,attend,11
34,attractor,attract,11
35,audiometer,audiometry,11
36,authenticator,authenticate,11
37,autobiographer,autobiography,11
38,avenger,avenge,11
39,avoider,avoid,11
40,backbiter,backbite,11
41,backslider,backslide,11
42,bagger,bag,11
43,bagpiper,bagpipe,11
44,bailer,bail,11
45,baiter,bait,11
46,balancer,balance,11
47,banqueter,banquet,11
48,bargainer,bargain,11
49,barnstormer,barnstorm,11
50,baster,baste,11
51,batterer,batter,11
52,beautifier,beautify,11
53,beekeeper,beekeeping,11
54,begetter,beget,11
55,beguiler,beguile,11
56,belayer,belay,11
57,bequeather,bequeath,11
58,besieger,besiege,11
59,betrayer,betray,11
60,bewitcher,bewitch,11
61,bibliographer,bibliography,11
62,bilker,bilk,11
63,binger,binge,11
64,biogeographer,biogeography,11
65,bisector,bisect,11
66,biter,bite,11
67,blackmailer,blackmail,11
68,blagger,blag,11
69,blasphemer,blaspheme,11
70,blatherer,blather,11
71,bluffer,bluff,11
72,blunderer,blunder,11
73,blusterer,bluster,11
74,boaster,boast,11
75,boatbuilder,boatbuilding,11
76,bodyboarder,bodyboard,11
77,bodysurfer,bodysurf,11
78,bootlegger,bootleg,11
79,bopper,bop,11
80,bragger,brag,11
81,brander,brand,11
82,brawler,brawl,11
83,breakdancer,breakdance,11
84,breakfaster,breakfast,11
85,bringer,bring,11
86,bugler,bugle,11
87,bullfighter,bullfight,11
88,bumbler,bumble,11
89,burrower,burrow,11
90,busker,busk,11
91,cadger,cadge,11
92,calibrator,calibrate,11
93,calligrapher,calligraphy,11
94,calumniator,calumniate,11
95,candler,candle,11
96,caner,cane,11
97,canner,can,11
98,canvasser,canvass,11
99,capturer,capture,11
100,caravanner,caravanning,11
101,carder,card,11
102,cardiographer,cardiograph,11
103,carjacker,carjack,11
104,caroller,carol,11
105,carouser,carouse,11
106,carper,carp,11
107,carter,cart,11
108,caseworker,casework,11
109,castrator,castrate,11
110,catechizer,catechize,11
111,caulker,caulk,11
112,causer,cause,11
113,caver,cave,11
114,celebrator,celebrate,11
115,censurer,censure,11
116,certifier,certify,11
117,channeller,channel,11
118,chastiser,chastise,11
119,chelator,chelate,11
120,chewer,chew,11
121,chlorinator,chlorinate,11
122,chooser,choose,11
123,chorographer,chorography,11
124,chucker,chuck,11
125,circulator,circulate,11
126,circumnavigator,circumnavigate,11
127,civilizer,civilize,11
128,clamper,clamp,11
129,clarifier,clarify,11
130,clasper,clasp,11
131,clinger,cling,11
132,cloner,clone,11
133,cockler,cockling,11
134,coder,code,11
135,codifier,codify,11
136,colluder,collude,11
137,colonizer,colonize,11
138,combustor,combust,11
139,committer,commit,11
140,compactor,compact,11
141,compensator,compensate,11
142,complainer,complain,11
143,completer,complete,11
144,compromiser,compromise,11
145,concentrator,concentrate,11
146,concocter,concoct,11
147,congratulator,congratulate,11
148,consignor,consign,11
149,consoler,console,11
150,consolidator,consolidate,11
151,constructor,construct,11
152,contemner,contemn,11
153,contradictor,contradict,11
154,contravener,contravene,11
155,contriver,contrive,11
156,conveyancer,conveyancing,11
157,cooperator,cooperate,11
158,corer,core,11
159,corrupter,corrupt,11
160,cougher,cough,11
161,counterfeiter,counterfeit,11
162,crabber,crab,11
163,crafter,craft,11
164,craftworker,craftwork,11
165,crapshooter,crapshoot,11
166,craver,crave,11
167,cribber,crib,11
168,crosser,cross,11
169,crusher,crush,11
170,cryptographer,cryptography,11
171,crystallographer,crystallography,11
172,culler,cull,11
173,curdler,curdle,11
174,curer,cure,11
175,dabbler,dabble,11
176,dangler,dangle,11
177,dayworker,daywork,11
178,debaucher,debauch,11
179,debriefer,debrief,11
180,decapitator,decapitate,11
181,deceiver,deceive,11
182,decelerator,decelerate,11
183,decimator,decimate,11
184,declaimer,declaim,11
185,defamer,defame,11
186,defier,defy,11
187,defiler,defile,11
188,definer,define,11
189,deflator,deflate,11
190,defragmenter,defragment,11
191,defrauder,defraud,11
192,degreaser,degrease,11
193,dehydrator,dehydrate,11
194,delegator,delegate,11
195,delimiter,delimit,11
196,delineator,delineate,11
197,deliverer,deliver,11
198,delver,delve,11
199,demander,demand,11
200,demarcator,demarcation,11
201,demister,demist,11
202,demographer,demography,11
203,demolisher,demolish,11
204,denouncer,denounce,11
205,depleter,deplete,11
206,descaler,descale,11
207,describer,describe,11
208,designator,designate,11
209,desorber,desorb,11
210,despiser,despise,11
211,despoiler,despoil,11
212,destructor,destruct,11
213,detoxifier,detoxify,11
214,deviator,deviate,11
215,deviser,devise,11
216,devourer,devour,11
217,dicer,dice,11
218,dieter,diet,11
219,differentiator,differentiate,11
220,digitizer,digitize,11
221,disapprover,disapprove,11
222,disburser,disburse,11
223,discloser,disclose,11
224,discographer,discography,11
225,discusser,discuss,11
226,disintegrator,disintegrate,11
227,dismantler,dismantle,11
228,disperser,disperse,11
229,displayer,display,11
230,disposer,dispose,11
231,disrupter,disrupt,11
232,dissaver,dissaving,11
233,dissector,dissect,11
234,dissembler,dissemble,11
235,disseminator,disseminate,11
236,dissipator,dissipate,11
237,dissuader,dissuade,11
238,distrainer,distrain,11
239,disturber,disturb,11
240,ditcher,ditch,11
241,ditherer,dither,11
242,diviner,divine,11
243,dobber,dob,11
244,dogfighter,dogfight,11
245,dominator,dominate,11
246,donator,donate,11
247,doodler,doodle,11
248,doper,dope,11
249,dotter,dot,11
250,doubler,double,11
251,downloader,download,11
252,downtowner,downtown,11
253,dowser,dowse,11
254,drafter,draft,11
255,dribbler,dribble,11
256,driller,drill,11
257,drover,drove,11
258,ducker,duck,11
259,dunker,dunk,11
260,eavesdropper,eavesdrop,11
261,edger,edge,11
262,electrolyser,electrolyse,11
263,electroreceptor,electroreception,11
264,elicitor,elicit,11
265,embalmer,embalm,11
266,embezzler,embezzle,11
267,embroiderer,embroider,11
268,emulator,emulate,11
269,enactor,enact,11
270,enameller,enamel,11
271,encoder,encode,11
272,encourager,encourage,11
273,endorser,endorse,11
274,energizer,energize,11
275,engraver,engrave,11
276,enjoyer,enjoy,11
277,enlightener,enlighten,11
278,enlister,enlist,11
279,enlivener,enliven,11
280,enquirer,enquire,11
281,enticer,entice,11
282,eradicator,eradicate,11
283,escaper,escape,11
284,espouser,espouse,11
285,establisher,establish,11
286,etcher,etch,11
287,ethnographer,ethnography,11
288,evader,evade,11
289,evaluator,evaluate,11
290,evaporator,evaporate,11
291,evoker,evoke,11
292,exaggerator,exaggerate,11
293,exchanger,exchange,11
294,excluder,exclude,11
295,exfoliator,exfoliate,11
296,exhauster,exhaust,11
297,exhorter,exhort,11
298,expander,expand,11
299,expediter,expedite,11
300,experiencer,experience,11
301,exploder,explode,11
302,exploiter,exploit,11
303,exposer,expose,11
304,expounder,expound,11
305,expropriator,expropriate,11
306,extortioner,extortion,11
307,fabricator,fabricate,11
308,factfinder,fact-finding,11
309,fanner,fan,11
310,fastener,fasten,11
311,favourer,favour,11
312,fearmonger,fearmongering,11
313,feaster,feast,11
314,fellator,fellatio,11
315,fencer,fence,11
316,feoffor,feoffment,11
317,ferreter,ferret,11
318,fibber,fib,11
319,fieldworker,fieldwork,11
320,fifer,fife,11
321,filer,file,11
322,filleter,fillet,11
323,fingerpicker,fingerpick,11
324,firer,fire,11
325,flagger,flag,11
326,flatliner,flatline,11
327,flattener,flatten,11
