id,word,detail,code
1,absconder,abscond,11
2,abseiler,abseil,11
3,absorber,absorb,11
4,abstainer,abstain,11
5,acquirer,acquire,11
6,activator,activate,11
7,actuator,actuate,11
8,addresser,address,11
9,adjuster,adjust,11
10,adopter,adopt,11
11,adulator,adulate,11
12,aerator,aerate,11
13,agister,agist,11
14,allocator,allocate,11
15,amasser,amass,11
16,ambler,amble,11
17,analyser,analyse,11
18,annihilator,annihilate,11
19,annotator,annotate,11
20,answerer,answer,11
21,anticipator,anticipate,11
22,appeaser,appease,11
23,applier,apply,11
24,appointer,appoint,11
25,appraiser,appraise,11
26,appropriator,appropriate,11
27,arguer,argue,11
28,asker,ask,11
29,assaulter,assault,11
30,assayer,assay,11
31,asserter,assert,11
32,assister,assist,11
33,assurer,assure,11
34,attender,attend,11
35,attractor,attract,11
36,audiometer,audiometry,11
37,authenticator,authenticate,11
38,autobiographer,autobiography,11
39,avenger,avenge,11
40,avoider,avoid,11
41,backbiter,backbite,11
42,backslider,backslide,11
43,bagger,bag,11
44,bagpiper,bagpipe,11
45,bailer,bail,11
46,baiter,bait,11
47,balancer,balance,11
48,banqueter,banquet,11
49,bargainer,bargain,11
50,barnstormer,barnstorm,11
51,baster,baste,11
52,batterer,batter,11
53,beautifier,beautify,11
54,beekeeper,beekeeping,11
55,begetter,beget,11
56,beguiler,beguile,11
57,belayer,belay,11
58,bequeather,bequeath,11
59,besieger,besiege,11
60,betrayer,betray,11
61,bewitcher,bewitch,11
62,bibliographer,bibliography,11
63,bilker,bilk,11
64,binger,binge,11
65,biogeographer,biogeography,11
66,bisector,bisect,11
67,biter,bite,11
68,blackmailer,blackmail,11
69,blagger,blag,11
70,blasphemer,blaspheme,11
71,blatherer,blather,11
72,bluffer,bluff,11
73,blunderer,blunder,11
74,blusterer,bluster,11
75,boaster,boast,11
76,boatbuilder,boatbuilding,11
77,bodyboarder,bodyboard,11
78,bodysurfer,bodysurf,11
79,bootlegger,bootleg,11
80,bopper,bop,11
81,bragger,brag,11
82,brander,brand,11
83,brawler,brawl,11
84,breakdancer,breakdance,11
85,breakfaster,breakfast,11
86,bringer,bring,11
87,bugler,bugle,11
88,bullfighter,bullfight,11
89,bumbler,bumble,11
90,burrower,burrow,11
91,busker,busk,11
92,cadger,cadge,11
93,calibrator,calibrate,11
94,calligrapher,calligraphy,11
95,calumniator,calumniate,11
96,candler,candle,11
97,caner,cane,11
98,canner,can,11
99,canvasser,canvass,11
100,capturer,capture,11
101,caravanner,caravanning,11
102,carder,card,11
103,cardiographer,cardiograph,11
104,carjacker,carjack,11
105,caroller,carol,11
106,carouser,carouse,11
107,carper,carp,11
108,carter,cart,11
109,caseworker,casework,11
110,castrator,castrate,11
111,catechizer,catechize,11
112,caulker,caulk,11
113,causer,cause,11
114,caver,cave,11
115,celebrator,celebrate,11
116,censurer,censure,11
117,certifier,certify,11
118,channeller,channel,11
119,chastiser,chastise,11
120,chelator,chelate,11
121,chewer,chew,11
122,chlorinator,chlorinate,11
123,chooser,choose,11
124,chorographer,chorography,11
125,chucker,chuck,11
126,circulator,circulate,11
127,circumnavigator,circumnavigate,11
128,civilizer,civilize,11
129,clamper,clamp,11
130,clarifier,clarify,11
131,clasper,clasp,11
132,clinger,cling,11
133,cloner,clone,11
134,cockler,cockling,11
135,coder,code,11
136,codifier,codify,11
137,colluder,collude,11
138,colonizer,colonize,11
139,combustor,combust,11
140,committer,commit,11
141,compactor,compact,11
142,compensator,compensate,11
143,complainer,complain,11
144,completer,complete,11
145,compromiser,compromise,11
146,concentrator,concentrate,11
147,concocter,concoct,11
148,congratulator,congratulate,11
149,consignor,consign,11
150,consoler,console,11
151,consolidator,consolidate,11
152,constructor,construct,11
153,contemner,contemn,11
154,contradictor,contradict,11
155,contravener,contravene,11
156,contriver,contrive,11
157,conveyancer,conveyancing,11
158,cooperator,cooperate,11
159,corer,core,11
160,corrupter,corrupt,11
161,cougher,cough,11
162,counterfeiter,counterfeit,11
163,crabber,crab,11
164,crafter,craft,11
165,craftworker,craftwork,11
166,crapshooter,crapshoot,11
167,craver,crave,11
168,cribber,crib,11
169,crosser,cross,11
170,crusher,crush,11
171,cryptographer,cryptography,11
172,crystallographer,crystallography,11
173,culler,cull,11
174,curdler,curdle,11
175,curer,cure,11
176,dabbler,dabble,11
177,dangler,dangle,11
178,dayworker,daywork,11
179,debaucher,debauch,11
180,debriefer,debrief,11
181,decapitator,decapitate,11
182,deceiver,deceive,11
183,decelerator,decelerate,11
184,decimator,decimate,11
185,declaimer,declaim,11
186,defamer,defame,11
187,defier,defy,11
188,defiler,defile,11
189,definer,define,11
190,deflator,deflate,11
191,defragmenter,defragment,11
192,defrauder,defraud,11
193,degreaser,degrease,11
194,dehydrator,dehydrate,11
195,delegator,delegate,11
196,delimiter,delimit,11
197,delineator,delineate,11
198,deliverer,deliver,11
199,delver,delve,11
200,demander,demand,11
201,demarcator,demarcation,11
202,demister,demist,11
203,demographer,demography,11
204,demolisher,demolish,11
205,denouncer,denounce,11
206,depleter,deplete,11
207,descaler,descale,11
208,describer,describe,11
209,designator,designate,11
210,desorber,desorb,11
211,despiser,despise,11
212,despoiler,despoil,11
213,destructor,destruct,11
214,detoxifier,detoxify,11
215,deviator,deviate,11
216,deviser,devise,11
217,devourer,devour,11
218,dicer,dice,11
219,dieter,diet,11
220,differentiator,differentiate,11
221,digitizer,digitize,11
222,disapprover,disapprove,11
223,disburser,disburse,11
224,discloser,disclose,11
225,discographer,discography,11
226,discusser,discuss,11
227,disintegrator,disintegrate,11
228,dismantler,dismantle,11
229,disperser,disperse,11
230,displayer,display,11
